"","id","province","district2016","constituency","shp2015","website2015","shp2016","website2016","merge_flag","new_2016","renamed","website2011","website2006","province2006","district2006","website2008.x","common","website2008.y"
"106",106,"North-Western","Zambezi","Zambezi West","Zambezi West","Zambezi West","Zambezi Westt","Zambezi West",2,0,NA,"Zambezi West","Zambezi West","North-Western","Zambezi","Zambezi West","Zambezi West","Zambezi West"
"107",107,"Northern","Chilubi","Chilubi","Chilubi","Chilubi","Chilubi","Chilubi",0,0,NA,"Chilubi","Chilubi","Northern","Chilubi","Chilubi","Chilubi","Chilubi"
"108",108,"Northern","Kaputa","Kaputa","Kaputa","Kaputa","Kaputa","Kaputa",0,0,NA,"Kaputa","Kaputa","Northern","Kaputa","Kaputa","Kaputa","Kaputa"
"109",109,"Northern","Kasama","Kasama Central","Kasama Central","Kasama Central","Kasama Central","Kasama Central",0,0,NA,"Kasama Central","Kasama Central","Northern","Kasama","Kasama Central","Kasama Central","Kasama Central"
"110",110,"Northern","Kasama","Lukashya","Lukashya","Lukashya","Lukashya","Lukashya",0,0,NA,"Lukashya","Lukashya","Northern","Kasama","Lukashya","Lukashya","Lukashya"
"111",111,"Northern","Luwingu","Lubansenshi","Lubansenshi","Lubansenshi","Lubansenshi","Lubansenshi",0,0,NA,"Lubansenshi","Lubansenshi","Northern","Luwingu","Lubansenshi","Lubansenshi","Lubansenshi"
"112",112,"Northern","Luwingu","Lupososhi","Lupososhi","Lupososhi","Lupososhi","Lupososhi",0,0,NA,"Lupososhi","Lupososhi","Northern","Luwingu","Lupososhi","Lupososhi","Lupososhi"
"113",113,"Northern","Mbala","Mbala","Mbala","Mbala","Mbala","Mbala",0,0,NA,"Mbala","Mbala","Northern","Mbala","Mbala","Mbala","Mbala"
"114",114,"Northern","Mbala","Senga Hill","Senga Hill","Senga Hill","Senga Hill","Senga Hill",0,0,NA,"Senga Hill","Senga Hill","Northern","Mbala","Senga Hill","Senga Hill","Senga Hill"
"115",115,"Northern","Mporokoso","Lunte","Lunte","Lunte","Lunte","Lunte",0,0,NA,"Lunte","Lunte","Northern","Mporokoso","Lunte","Lunte","Lunte"
"116",116,"Northern","Mporokoso","Mporokoso","Mporokoso","Mporokoso","Mporokoso","Mporokoso",0,0,NA,"Mporokoso","Mporokoso","Northern","Mporokoso","Mporokoso","Mporokoso","Mporokoso"
"117",117,"Northern","Mpulungu","Mpulungu","Mpulungu","Mpulungu","Mpulungu","Mpulungu",0,0,NA,"Mpulungu","Mpulungu","Northern","Mpulungu","Mpulungu","Mpulungu","Mpulungu"
"118",118,"Northern","Mungwi","Malole","Malole","Malole","Malole","Malole",0,0,NA,"Malole","Malole","Northern","Mungwi","Malole","Malole","Malole"
"119",119,"Northern","Nsama","Chimbamilonga","Chimbamilonga","Chimbamilonga","Chimbamilonga","Chimbamilonga",0,0,NA,"Chimbamilonga","Chimbamilonga","Northern","Kaputa","Chimbamilonga","Chimbamilonga","Chimbamilonga"
"120",120,"Southern","Chikankata","Chikankata","Chikankata","Chikankata","Chikankata","Chikankata",0,0,NA,"Chikankata","Chikankata","Southern","Mazabuka","Chikankata","Chikankata","Chikankata"
"121",121,"Southern","Choma","Choma Central","Choma Central","Choma Central","Choma Central","Choma Central",0,0,NA,"Choma Central","Choma Central","Southern","Choma","Choma Central","Choma Central","Choma Central"
"122",122,"Southern","Choma","Mbabala","Mbabala","Mbabala","Mbabala","Mbabala",0,0,NA,"Mbabala","Mbabala","Southern","Choma","Mbabala","Mbabala","Mbabala"
"123",123,"Southern","Gwembe","Gwembe","Gwembe","Gwembe","Gwembe","Gwembe",0,0,NA,"Gwembe","Gwembe","Southern","Gwembe","Gwembe","Gwembe","Gwembe"
"124",124,"Southern","Kalomo","Dundumwezi","Dundumwezi","Dundumwezi","Dundumwezi","Dundumwezi",0,0,NA,"Dundumwezi","Dundumwezi","Southern","Kalomo","Dundumwezi","Dundumwezi","Dundumwezi"
"125",125,"Southern","Kalomo","Kalomo Central","Kalomo Central","Kalomo Central","Kalomo Central","Kalomo Central",0,0,NA,"Kalomo Central","Kalomo Central","Southern","Kalomo","Kalomo Central","Kalomo Central","Kalomo Central"
"126",126,"Southern","Kazungula","Katombola","Katombola","Katombola","Katombola","Katombola",0,0,NA,"Katombola","Katombola","Southern","Kazungula","Katombola","Katombola","Katombola"
"127",127,"Southern","Livingstone","Livingstone","Livingstone","Livingstone","Livingstone","Livingstone",0,0,NA,"Livingstone","Livingstone","Southern","Livingstone","Livingstone","Livingstone","Livingstone"
"128",128,"Southern","Mazabuka","Magoye","Magoye","Magoye","Magoye","Magoye",0,0,NA,"Magoye","Magoye","Southern","Mazabuka","Magoye","Magoye","Magoye"
