col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,,MBEWE Grasiano K.,Independent,344,,,,
,,,BANDA Nicerata C.,Independent,277,,,,
,,,MWALE Raphael,Independent,274,,,,
,,,PHIRI Mark L.,APC,237,,,,
,,,,,"9,092",517,"9,609","13,225",
,,,,,,,,,
,CHAMA,039 Chama  North,CHILEMBO Todd S.,MMD,"7,795",,,,
,,,CHIBANGA John,"UPND, FDD, UNIP (UDA)","3,136",,,,
,,,KUMWENDA Windie L.,Independent,"2,317",,,,
,,,MKANDAWIRE Jackson,Heritage,663,,,,
,,,CHISUPA Overson,APC,373,,,,
,,,KHUNGA Fred,PF,333,,,,
,,,,,"14,617",414,"15,031","18,185",
,,,,,,,,,
,,040 Chama South,NKHATA Bornface,MMD,"5,702",,,,
,,,NGULUBE Yotam J.,"UPND, FDD, UNIP (UDA)","5,018",,,,
,,,MAGOLO Rabson,PF,"1,458",,,,
,,,MTONGA Julius,Independent,413,,,,
,,,NG‰ÛªUNI  Chozi A.,APC,230,,,,
,,,CHAKWE Kamulibwe M.,Independent,175,,,,
,,,,,"12,996",304,"13,300","16,011",
,,,,,,,,,
,CHIPATA,041 Chipangali,MWALE Vincent,MMD,"5,782",,,,
,,,PHIRI Lucas,"UPND, FDD, UNIP (UDA)","5,286",,,,
,,,MWANZA  James J.,Independent,"4,788",,,,
,,,BANDA Martha,Heritage,"1,295",,,,
,,,PHIRI Weluzani M.,PF,"1,185",,,,
,,,MAZYOPA Jonathan J.,APC,971,,,,
,,,TEMBO Wilson,Independent,911,,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,EASTERN,CHIPATA,042 Chipata Central,MANGANI Lameck,MMD,"7,676",,,
,,,,DAKA Kazembe M.,PF,"4,587",,,
,,,,MWALE Mathew W.,"UPND, FDD, UNIP (UDA)","4,203",,,
,,,,PHIRI Kingstone,Independent,"3,275",,,
,,,,MWALE Magdalene,Independent,"2,118",,,
,,,,BANDA Julius K.,Independent,"1,552",,,
,,,,MUSUKWA Joseph,APC,863,,,
,,,,LUNGU Joshua,Independent,416,,,
,,,,,,"24,690",13,"24,703","38,034"
,,,,,,,,,
,,,043 Kasenengwa,TEMBO Verah,MMD,"7,144",,,
,,,,MBEWE Isiaih K.,"UPND, FDD, UNIP (UDA)","6,146",,,
,,,,MAKUKULA Joseph D.,APC,"2,735",,,
,,,,MBEWE Dominic,PF,"1,413",,,
,,,,NGOMA Misheck A.,Independent,"1,130",,,
,,,,NYIRENDA Timothy K.,Independent,875,,,
,,,,SHANZI Burton,Heritage,753,,,
,,,,SONDASHI Mulenga C.,Independent,502,,,
,,,,SAKALA Fredson G.,NDF,289,,,
,,,,,,"20,987",403,"21,390","32,496"
,,,,,,,,,
,,,044 Luangeni,CIFIRE Angela N.,MMD,"6,528",,,
,,,,ZULU Charles M.,PF,"3,400",,,
,,,,JERE Besnat H.,"UPND, FDD, UNIP (UDA)","2,492",,,
,,,,NYIRENDA Leemans L.,Independent,"1,619",,,
,,,,MZYECE Margret F.,Independent,"1,183",,,
,,,,MWALE Greyson P.,Independent,824,,,
,,,,NGWENYA Doris T.,APC,648,,,
,,,,TEMBO Moyo C.,Independent,386,,,
,,,,JERE Peter N.,Heritage,380,,,
,,,,,,"17,460",545,"18,005","24,761"
,,,,,,,,,
,,KATETE,045 Milanzi,NJOBVU Chosani A.,"UPND, FDD, UNIP (UDA)","5,682",,,
,,,,BANDA Rosemary C.,MMD,"4,472",,,
,,,,PHIRI Chimwala T.,Independent,"1,911",,,
,,,,BANDA Emmanuel,APC,"1,259",,,
,,,,MVULA Ezala,PF,529,,,
,,,,,,"13,853",596,"14,449","19,698"
,,,,,,,,,
,,,046 Mkaika,PHIRI David B.,MMD,"6,842",,,
,,,,PHIRI James M.,"UPND, FDD, UNIP (UDA)","4,860",,,
,,,,MWALE George,Independent,"1,786",,,
,,,,BANDA Eneless,PF,"1,174",,,
,,,,PHIRI Eness,Independent,769,,,
,,,,PHIRI Kelvin,Independent,625,,,
,,,,ZULU Henry H.,APC,493,,,
,,,,TEMBO Fredson M.,Heritage,460,,,
,,,,PHIRI Jasiel J.,Independent,444,,,
,,,,PHIRI Joseph A.,PUDD,113,,,
,,,,,"17,566","1,068","18,634","26,815",
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
EASTERN,KATETE,047 Sinda,NGOMA Levy J.,"UPND, FDD, UNIP (UDA)","9,877",,,,
,,,BANDA Zebron,MMD,"5,557",,,,
,,,MWALE Aston M.,PF,534,,,,
,,,PHIRI Flowers,Heritage,471,,,,
,,,MBEWE Joseph G.,Independent,373,,,,
,,,,,"16,812",779,"17,591","24,606",
,,,,,,,,,
,LUNDAZI,048 Chasefu,BANDA Chifumu K.,"UPND, FDD, UNIP (UDA)","13,362",,,,
,,,MOYO Mabvuto H.,MMD,"4,889",,,,
,,,KASARO Anystone J.,PF,"2,176",,,,
,,,NDHLOVU Patson L.,Independent,825,,,,
,,,PHIRI Cynthia H.,Independent,710,,,,
,,,NGWIRA Filtone M.,Heritage,566,,,,
,,,ZIMBA Standson,NDF,384,,,,
,,,,,"22,912",631,"23,543","31,916",
,,,,,,,,,
,,049 Lumezi,BANDA Isaac,MMD,"9,818",,,,
,,,ZULU Dickson S.,"UPND, FDD, UNIP (UDA)","7,161",,,,
,,,PHIRI Peter M.,PF,"2,193",,,,
,,,MBEWE Mary M.,Independent,"1,058",,,,
,,,,,"20,230",527,"20,757","30,193",
,,,,,,,,,
,,050 Lundazi,LUNGU Mkhondo D.,"UPND, FDD, UNIP (UDA)","10,275",,,,
,,,BANDA Frackson,MMD,"9,161",,,,
,,,NYIRENDA Matildah,Independent,"4,212",,,,
,,,MBEWA Daud D.,NDF,"1,210",,,,
,,,NYIRONGO James C.,PF,"1,123",,,,
,,,CHIPETA Chifumu W.,Independent,672,,,,
,,,MTONGA Chrispin W.,RP,442,,,,
,,,MANG‰ÛªANDA Rabson,Independent,369,,,,
,,,,,"27,464",685,"28,149","38,503",
,,,,,,,,,
,NYIMBA,052 Nyimba,TEMBO Forrie R.,MMD,"7,775",,,,
,,,PHIRI Geroge M.,"UPND, FDD, UNIP (UDA)","2,998",,,,
,,,CHIVUNGULA Phillip,Independent,"1,838",,,,
,,,LUNGU Joe,Independent,"1,799",,,,
,,,GRAY Roy,Independent,500,,,,
,,,SAKALA Jackson,PF,490,,,,
,,,SHUMBA Peter C.,ULP,285,,,,
,,,NGWENYAMA Langton,APC,253,,,,
,,,,,"15,938",597,"16,535","24,772",
,,,,,,,,,
,PETAUKE,053 Kapoche,BANDA Nicholas K.,MMD,"9,203",,,,
,,,BANDA Charles R.,"UPND, FDD, UNIP (UDA)","7,920",,,,
,,,MWALE Lawrence,Heritage,"1,203",,,,
,,,TEMBO Elina,PF,723,,,,
,,,,,"19,049",184,"19,233","27,523",
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,EASTERN,PETAUKE,054 Msanzala,DAKA Peter M.,MMD,"5,917",,,
,,,,MUMBA Levison A.,"UPND, FDD, UNIP (UDA)","3,380",,,
,,,,NDIBALI Mirriam M.,Heritage,"2,846",,,
,,,,MALUMBE Peter N.,APC,"1,391",,,
,,,,BANDA Charles,Independent,"1,101",,,
,,,,CHILEMBO Frackson B.,PF,766,,,
,,,,,,"15,401",464,"15,865","23,000"
,,,,,,,,,
,,,055 Petauke,SILIYA Dora,MMD,"13,641",,,
,,,,SAKALA Donald,"UPND, FDD, UNIP (UDA)","2,436",,,
,,,,BANDA Leonard,Heritage,"2,189",,,
,,,,BANDA Ronald,Independent,"1,599",,,
,,,,BANDA Stella V.,Independent,"1,142",,,
,,,,UKWIMI Nicholas K.,PF,649,,,
,,,,TEMBO Mike,Independent,571,,,
,,,,PHIRI Tobias L.,Independent,123,,,
,,,,,,"22,350",802,"23,152","36,069"
,,,,,,,,,
,,MAMBWE,051 Malambo,MWALE Maxwell B.,MMD,"4,838",,,
,,,,KAUNDA Kaweche,"UPND, FDD, UNIP (UDA)","4,399",,,
,,,,CHINGAIPE Annie-Yeta,Independent,"1,446",,,
,,,,BANDA Levies N.,Independent,751,,,
,,,,BANDA Joyce,Independent,651,,,
,,,,LUBILO Rodgers,APC,629,,,
,,,,BANDA Chrispin M.,Independent,459,,,
,,,,PHIRI Peter S.,PUDD,443,,,
,,,,MWALE Alice,PF,403,,,
,,,,ZIMBA George,NGP,394,,,
,,,,KALOMBA Richard,Heritage,169,,,
,,,,,,"14,582",569,"15,151","21,892"
,,,,,,,,,
,LUAPULA,KAWAMBWA,056 Kawambwa,CHITIKA Elizabeth K.,PF,"4,445",,,
,,,,KAPATAMOYO Chama M.,Independent,"3,260",,,
,,,,KABWE Chongo,MMD,"1,607",,,
,,,,MAMBWE George,Independent,"1,464",,,
,,,,KALUMBA Samuel,NDF,214,,,
,,,,MUTALE Moses,"UPND, FDD, UNIP (UDA)",112,,,
,,,,,,"11,102",10,"11,112","15,549"
,,,,,,,,,
,,,057 Mwansabombwe,CHITONGE Samuel,PF,"6,818",,,
,,,,MUBANGA Maybin M,MMD,"2,405",,,
,,,,DIURU Paul,NDF,281,,,
,,,,KONSOLO Kalumba,Independent,252,,,
,,,,CHISHIMIKWA Elalio C.,"UPND, FDD, UNIP (UDA)",191,,,
,,,,,,"9,947",259,"10,206","14,609"
,,,,,,,,,
,,,,,,,,,
,,,058 Pambashe,CHISHYA Bernard E.,PF,"3,510",,,
,,,,MPASA Ivo,MMD,"3,114",,,
,,,,MUSONDA Mathews,NDF,693,,,
,,,,,"7,317",141,"7,458","10,103",
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,LUAPULA,MANSA,059 Bahati,CHIMBAKA  Besa E.,PF,"7,682",,,
,,,,CHUNGU Emmanuel K.,MMD,"4,318",,,
,,,,BWEUPE Francis K.,Independent,"1,412",,,
,,,,MAMBWE James G.,"UPND, FDD, UNIP (UDA)",514,,,
,,,,,,"13,926",485,"14,411","22,865"
,,,,,,,,,
,,,061 Mansa Central,MUSOSHA Chrispine M.,MMD,"15,285",,,
,,,,KABWITA James,PF,"9,529",,,
,,,,MUSOMA Morgan M.,NDF,"1,765",,,
,,,,MUSUNTE Mwansa,"UPND, FDD, UNIP (UDA)","1,115",,,
,,,,,,"27,694",495,"28,189","41,968"
,,,,,,,,,
,,MILENGE,060 Chembe,MBULAKULIMA Mwansa,MMD,"4,115",,,
,,,,SAKA Allan G.,PF,"1,885",,,
,,,,MUSUMALI Regina M.,"UPND, FDD, UNIP (UDA)",913,,,
,,,,,,"6,913",55,"6,968","11,814"
,,,,,,,,,
,,MWENSE,062 Chipili,MWILA Davies,PF,"4,337",,,
,,,,MFULA Jason,MMD,"2,408",,,
,,,,MWAPE Joyce,Independent,699,,,
,,,,KABASO Ronald P.,Independent,363,,,
,,,,KAYAMBA Chikaya M.,"UPND, FDD, UNIP (UDA)",143,,,
,,,,CHIBWE Joseph M.,Independent,49,,,
,,,,MWEWA Enock,Independent,48,,,
,,,,,,"8,047",188,"8,235","10,881"
,,,,,,,,,
,,,,,,,,,
,,,063 Mambilima,CHINYANTA John M.,MMD,"3,582",,,
,,,,CHIBALE Sophie,PF,"1,880",,,
,,,,MOBA Chama,"UPND, FDD, UNIP (UDA)","1,360",,,
,,,,KALIFUNGWA Patrick K.,Independent,943,,,
,,,,CHILESHE Matildah M.,Independent,507,,,
,,,,KAOMA Alfred,APC,221,,,
,,,,LYOBA Victoria C.,NDF,141,,,
,,,,,,"8,634",187,"8,821","12,028"
,,,,,,,,,
,,,064 Mwense,CHONGO Jacob B.,PF,"5,585",,,
,,,,KAPAPULA Booker C.,MMD,"3,517",,,
,,,,KATEKA Victor,NDF,"1,281",,,
,,,,MULENGA Grace C.,"UPND, FDD, UNIP (UDA)",780,,,
,,,,KASONKOMONA Fridah,PUDD,733,,,
,,,,CHAMA Josephine,ULP,274,,,
,,,,,,"12,170",271,"12,441","19,456"
,,,,,,,,,
,,CHIENGI,065 Chiengi,KALUMBA Katele Dr.,MMD,"11,337",,,
,,,,MPAMPI Cosmas M.,PF,"6,593",,,
,,,,,,"17,930",381,"18,311","37,470"
,,,,,,,,,
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
LUAPULA,NCHELENGE,066 Nchelenge,MWILA Benjamin,NDF,"8,191",,,,
,,,MULENGA Diana,MMD,"7,965",,,,
,,,CHIPAMPE Rosemary,PF,"7,152",,,,
,,,MUKANGA Kainga,"UPND, FDD, UNIP (UDA)",662,,,,
,,,,,"23,970",540,"24,510","45,650",
