candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
,"12,829",,,10,0.08%,"12,839","20,591",62.35%
00000027 KANTANSHI,,,,,,,,
"SATA Micheal C ,PF","15,280",80.74%,49.91%,,,,,
"BANDA Rupiah B ,MMD","3,221",17.02%,10.52%,,,,,
"HICHILEMA Hakainde  ,UPND",277,1.46%,0.90%,,,,,
"CHIPIMO Elias C ,NAREP",29,0.15%,0.09%,,,,,
"MILUPI Charles L ,ADD",26,0.14%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.11%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",20,0.11%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",18,0.10%,0.06%,,,,,
"MAGANDE Ngandu P ,NMP",16,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",9,0.05%,0.03%,,,,,
,"18,916",,,8,0.04%,"18,924","30,616",61.81%
00000028 MUFULIRA,,,,,,,,
"SATA Micheal C ,PF","11,318",66.26%,40.21%,,,,,
"BANDA Rupiah B ,MMD","4,779",27.98%,16.98%,,,,,
"HICHILEMA Hakainde  ,UPND",374,2.19%,1.33%,,,,,
"KAUNDA Tilyenji C ,UNIP",67,0.39%,0.24%,,,,,
"CHIPIMO Elias C ,NAREP",44,0.26%,0.16%,,,,,
"MILUPI Charles L ,ADD",33,0.19%,0.12%,,,,,
"MAGANDE Ngandu P ,NMP",22,0.13%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",19,0.11%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",9,0.05%,0.03%,,,,,
"NAWAKWI Edith Z ,FDD",5,0.03%,0.02%,,,,,
,"16,670",,,410,2.40%,"17,080","28,147",60.68%
00000029 KAFULAFUTA,,,,,,,,
"BANDA Rupiah B ,MMD","6,791",65.43%,35.19%,,,,,
"SATA Micheal C ,PF","2,762",26.61%,14.31%,,,,,
"HICHILEMA Hakainde  ,UPND",370,3.56%,1.92%,,,,,
"CHIPIMO Elias C ,NAREP",40,0.39%,0.21%,,,,,
"MAGANDE Ngandu P ,NMP",22,0.21%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",12,0.12%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",11,0.11%,0.06%,,,,,
"MILUPI Charles L ,ADD",7,0.07%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",6,0.06%,0.03%,,,,,
"MIYANDA Godfrey K ,HERITAGE",5,0.05%,0.03%,,,,,
,"10,026",,,353,3.40%,"10,379","19,297",53.79%
00000030 LUFWANYAMA,,,,,,,,
"BANDA Rupiah B ,MMD","8,244",59.32%,24.53%,,,,,
"SATA Micheal C ,PF","3,362",24.19%,10.00%,,,,,
"HICHILEMA Hakainde  ,UPND","1,596",11.48%,4.75%,,,,,
"CHIPIMO Elias C ,NAREP",33,0.24%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",28,0.20%,0.08%,,,,,
"MAGANDE Ngandu P ,NMP",27,0.19%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",26,0.19%,0.08%,,,,,
"KAUNDA Tilyenji C ,UNIP",25,0.18%,0.07%,,,,,
"MILUPI Charles L ,ADD",12,0.09%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",8,0.06%,0.02%,,,,,
,"13,361",,,537,3.86%,"13,898","33,608",41.35%
00000031 MASAITI,,,,,,,,
"BANDA Rupiah B ,MMD","9,824",73.66%,37.26%,,,,,
"SATA Micheal C ,PF","2,883",21.62%,10.93%,,,,,
"HICHILEMA Hakainde  ,UPND",500,3.75%,1.90%,,,,,
"MILUPI Charles L ,ADD",38,0.28%,0.14%,,,,,
"CHIPIMO Elias C ,NAREP",20,0.15%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.11%,0.06%,,,,,
"KAUNDA Tilyenji C ,UNIP",14,0.10%,0.05%,,,,,
"MAGANDE Ngandu P ,NMP",14,0.10%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",8,0.06%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",2,0.01%,0.01%,,,,,
,"13,318",,,19,0.14%,"13,337","26,367",50.58%
00000032 MPONGWE,,,,,,,,
"BANDA Rupiah B ,MMD","9,053",61.17%,26.13%,,,,,
"SATA Micheal C ,PF","4,073",27.52%,11.76%,,,,,
"HICHILEMA Hakainde  ,UPND","1,238",8.36%,3.57%,,,,,
"CHIPIMO Elias C ,NAREP",33,0.22%,0.10%,,,,,
"KAUNDA Tilyenji C ,UNIP",30,0.20%,0.09%,,,,,
"MILUPI Charles L ,ADD",29,0.20%,0.08%,,,,,
"MAGANDE Ngandu P ,NMP",14,0.09%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",13,0.09%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",8,0.05%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",5,0.03%,0.01%,,,,,
,"14,496",,,304,2.05%,"14,800","34,642",42.72%
00000033 BWANA MKUBWA,,,,,,,,
"SATA Micheal C ,PF","18,376",73.50%,42.05%,,,,,
"BANDA Rupiah B ,MMD","5,567",22.27%,12.74%,,,,,
"HICHILEMA Hakainde  ,UPND",804,3.22%,1.84%,,,,,
"CHIPIMO Elias C ,NAREP",65,0.26%,0.15%,,,,,
"MAGANDE Ngandu P ,NMP",43,0.17%,0.10%,,,,,
"KAUNDA Tilyenji C ,UNIP",29,0.12%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",29,0.12%,0.07%,,,,,
"MILUPI Charles L ,ADD",21,0.08%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",6,0.02%,0.01%,,,,,
,"24,960",,,43,0.17%,"25,003","43,701",57.21%
00000034 CHIFUBU,,,,,,,,
"SATA Micheal C ,PF","18,519",67.15%,43.23%,,,,,
"BANDA Rupiah B ,MMD","7,690",27.88%,17.95%,,,,,
"HICHILEMA Hakainde  ,UPND",710,2.57%,1.66%,,,,,
