1 CHISAMBA,,,,,,,,,,,
HICHILEMA HAKAINDE,,,UPND,766,9.00,2.90,,,,,
MIYANDA GODFREY K,,,HERITAGE,40,0.00,0.15,,,,,
Totals for LUFWANYAMA,,,,,,,174,1.95,"8,946","26,389",33.90
31 MASAITI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"8,016",82.00,38.16,,,,,
"",,SATA MICHAEL C,PF,"1,280",13.00,6.09,,,,,
"",,HICHILEMA HAKAINDE,UPND,264,3.00,1.26,,,,,
"",,MIYANDA GODFREY K,HERITAGE,26,0.00,0.12,,,,,
Totals for MASAITI,,,,,,,191,1.95,"9,777","21,008",46.54
32 MPONGWE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"7,525",72.00,25.31,,,,,
"",,SATA MICHAEL C,PF,"1,854",18.00,6.24,,,,,
"",,HICHILEMA HAKAINDE,UPND,917,9.00,3.08,,,,,
"",,MIYANDA GODFREY K,HERITAGE,28,0.00,0.09,,,,,
Totals for MPONGWE,,,,,,,130,1.24,"10,454","29,734",35.16
33 BWANANKUBWA,,,,,,,,,,
"",SATA MICHAEL C,PF,"12,056",66.00,35.30,,,,,
"",BANDA RUPIAH B,MMD,"4,718",26.00,13.81,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,145",6.00,3.35,,,,,
"",MIYANDA GODFREY K,HERITAGE,114,1.00,0.33,,,,,
Totals for BWANANKUBWA,,,,,,310,1.69,"18,343","34,155",53.71
34 CHIFUBU,,,,,,,,,,
"",SATA MICHAEL C,PF,"10,343",61.00,35.36,,,,,
"",BANDA RUPIAH B,MMD,"5,150",31.00,17.61,,,,,
"",HICHILEMA HAKAINDE,UPND,920,5.00,3.15,,,,,
"",MIYANDA GODFREY K,HERITAGE,96,1.00,0.33,,,,,
Totals for CHIFUBU,,,,,,363,2.15,"16,872","29,252",57.68
35 KABUSHI,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"11,944",71.00,40.24,,,,,
"",BANDA RUPIAH B,,MMD,"3,815",23.00,12.85,,,,,
"",HICHILEMA HAKAINDE,,UPND,779,5.00,2.62,,,,,
"",MIYANDA GODFREY K,,HERITAGE,97,1.00,0.33,,,,,
Totals for KABUSHI,,,,,,,284,1.68,"16,919","29,684",57.00
36 NDOLA CENTRAL,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"12,460",60.00,32.13,,,,,
"",BANDA RUPIAH B,,MMD,"6,226",30.00,16.06,,,,,
"",HICHILEMA HAKAINDE,,UPND,"1,550",7.00,4.00,,,,,
"",MIYANDA GODFREY K,,HERITAGE,273,1.00,0.70,,,,,
Totals for NDOLA CENTRAL,,,,,,,403,1.93,"20,912","38,776",53.93
37 CHADIZA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,957",79.00,32.66,,,,,
"",,HICHILEMA HAKAINDE,UPND,844,11.00,4.63,,,,,
"",,SATA MICHAEL C,PF,502,7.00,2.75,,,,,
"",,MIYANDA GODFREY K,HERITAGE,87,1.00,0.48,,,,,
Totals for CHADIZA,,,,,,,125,1.66,"7,515","18,242",41.20
38 VUBWI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"3,925",80.00,29.67,,,,,
"",,HICHILEMA HAKAINDE,UPND,452,9.00,3.42,,,,,
"",,SATA MICHAEL C,PF,373,8.00,2.82,,,,,
"",,MIYANDA GODFREY K,HERITAGE,65,1.00,0.49,,,,,
Totals for VUBWI,,,,,,,90,1.83,"4,905","13,231",37.07
39 CHAMA NORTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"4,472",57.00,24.58,,,,,
SATA MICHAEL C,,PF,"2,996",38.00,16.47,,,,,
HICHILEMA HAKAINDE,,UPND,254,3.00,1.40,,,,,
MIYANDA GODFREY K,,HERITAGE,63,1.00,0.35,,,,,
Totals for CHAMA NORTH,,,,,,115,1.46,"7,900","18,191",43.43
40 CHAMA SOUTH,,,,,,,,,,
BANDA RUPIAH B,,MMD,"4,749",57.00,29.65,,,,,
SATA MICHAEL C,,PF,"3,091",37.00,19.30,,,,,
HICHILEMA HAKAINDE,,UPND,271,3.00,1.69,,,,,
MIYANDA GODFREY K,,HERITAGE,56,1.00,0.35,,,,,
Totals for CHAMA SOUTH,,,,,,111,1.34,"8,278","16,015",51.69
41 CHIPANGALI,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"9,181",81.00,27.54,,,,,
SATA MICHAEL C,,,PF,"1,141",10.00,3.42,,,,,
HICHILEMA HAKAINDE,,,UPND,740,7.00,2.22,,,,,
MIYANDA GODFREY K,,,HERITAGE,98,1.00,0.29,,,,,
Totals for CHIPANGALI,,,,,,,207,1.82,"11,367","33,343",34.09
42 CHIPATA CENTRAL,,,,,,,,,,,
BANDA RUPIAH B,,,MMD,"10,556",64.00,27.69,,,,,
SATA MICHAEL C,,,PF,"4,592",28.00,12.04,,,,,
HICHILEMA HAKAINDE,,,UPND,923,6.00,2.42,,,,,
MIYANDA GODFREY K,,,HERITAGE,92,1.00,0.24,,,,,
Totals for CHIPATA CENTRAL,,,,,,,268,1.63,"16,431","38,126",43.10
43 KASENENGWA,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"10,110",83.00,31.05,,,,,
"",SATA MICHAEL C,PF,"1,278",10.00,3.92,,,,,
"",HICHILEMA HAKAINDE,UPND,547,4.00,1.68,,,,,
"",MIYANDA GODFREY K,HERITAGE,110,1.00,0.34,,,,,
Totals for KASENENGWA,,,,,,149,1.22,"12,194","32,563",37.45
44 LUANGENI,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"7,944",76.00,32.03,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,173",11.00,4.73,,,,,
"",SATA MICHAEL C,PF,"1,125",11.00,4.54,,,,,
"",MIYANDA GODFREY K,HERITAGE,99,1.00,0.40,,,,,
Totals for LUANGENI,,,,,,174,1.65,"10,515","24,799",42.40
45 MILANZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,872",73.00,29.77,,,,,
"",,HICHILEMA HAKAINDE,UPND,"1,050",13.00,5.32,,,,,
"",,SATA MICHAEL C,PF,849,11.00,4.30,,,,,
"",,MIYANDA GODFREY K,HERITAGE,129,2.00,0.65,,,,,
Totals for MILANZI,,,,,,,118,1.47,"8,018","19,727",40.64
46 MKAIKA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"9,527",81.00,35.46,,,,,
"",,SATA MICHAEL C,PF,"1,544",13.00,5.75,,,,,
"",,HICHILEMA HAKAINDE,UPND,406,3.00,1.51,,,,,
"",,MIYANDA GODFREY K,HERITAGE,60,1.00,0.22,,,,,
Totals for MKAIKA,,,,,,,243,2.06,"11,780","26,869",43.84
CONSTITUENCY,CANDIDATE,PARTY,VOTES,%,%,Rejected,Rejected,Total,Registered,Voter
"",,,OBTAINED,Against,Against,Ballot,Ballot,Votes,Voters,Turnout
