"","constit","election_type","year","turnout","pct_rejected"
"262","Mbabala","parliamentary",2006,0.806289245489883,0.0222510661969219
"263","Pemba","parliamentary",2006,0.814872542611494,0.0258530264700438
"264","Gwembe","parliamentary",2006,0.823720904997016,0.0192991700698195
"265","Dundumwezi","parliamentary",2006,0.707693007183777,0.0418246064889174
"266","Kalomo Central","parliamentary",2006,0.769866598583009,0.0302201218753886
"267","Mapatizya","parliamentary",2006,0.842735581468642,0.0401218078854578
"268","Katombola","parliamentary",2006,0.746134692223059,0.0291812184710904
"269","Livingstone","parliamentary",2006,0.744260424942451,0.0129738606815383
"270","Chikankata","parliamentary",2006,0.690233362143475,0.0164663160530929
"271","Magoye","parliamentary",2006,0.752486299979704,0.0238705327039784
"272","Mazabuka Central","parliamentary",2006,0.719167648664961,0.0133082887059388
"273","Bweengwa","parliamentary",2006,0.774146741530503,0.0129573791867004
"274","Monze Central","parliamentary",2006,0.765231991217591,0.0213080168776371
"275","Moomba","parliamentary",2006,0.783139264089427,0.02402759605091
"276","Itezhitezhi","parliamentary",2006,0.656291516416777,0.0205320994794679
"277","Namwala","parliamentary",2006,0.716634429400387,0.0125609882694903
"278","Siavonga","parliamentary",2006,0.788784779343395,0.0372687704026115
"279","Sinazongwe","parliamentary",2006,0.779228746713409,0.0546245266749147
"280","Kalabo Central","parliamentary",2006,0.708327715608287,0.0477127085844807
"281","Liuwa","parliamentary",2006,0.730847457627119,0.0245163000265041
"282","Sikongo","parliamentary",2006,0.656185433884298,0.0569713667224245
"283","Kaoma Central","parliamentary",2006,0.592180592796579,0.021048767056232
"284","Luampa","parliamentary",2006,0.71778573905004,0.0538560618257929
"285","Mangango","parliamentary",2006,0.672688927943761,0.037830494304525
"286","Lukulu East","parliamentary",2006,0.689478430069764,0.0147301762114537
"287","Mitete","parliamentary",2006,0.715225845049357,0.00766764254844556
"288","Luena","parliamentary",2006,0.740378468226569,0.022968655556515
"289","Mongu Central","parliamentary",2006,0.67343031065131,0.0208793074180954
"290","Nalikwanda","parliamentary",2006,0.638352870453862,0.0344665222714003
"291","Nalolo","parliamentary",2006,0.708402948402948,0.0139428412874584
"292","Senanga","parliamentary",2006,0.686804316424505,0.0244339972782383
"293","Mulobezi","parliamentary",2006,0.686755952380952,0.0227518959913326
"294","Mwandi","parliamentary",2006,0.711905729378302,0.0196917808219178
"295","Sesheke","parliamentary",2006,0.697299890350877,0.0219164619164619
"296","Shangombo","parliamentary",2006,0.68815563608621,0.0301644493717664
"297","Katuba","presidential",2015,0.321900740638195,0.00849371035372541
"298","Keembe","presidential",2015,0.231151395631068,0.0151763740771124
"299","Chisamba","presidential",2015,0.247310989867498,0.0106103582309066
"300","Chitambo","presidential",2015,0.200254777070064,0.016030534351145
"301","Itezhitezhi","presidential",2015,0.371412081569835,0.00631927898062778
"302","Bwacha","presidential",2015,0.303877889963884,0.0135334432202655
"303","Kabwe Central","presidential",2015,0.341372295896413,0.00922477511029622
"304","Kapiri Mposhi","presidential",2015,0.201251525889757,0.0134267710971085
"305","Mkushi South","presidential",2015,0.318686473807662,0.00736015701668302
"306","Mkushi North","presidential",2015,0.18709167544784,0.00901154604336806
"307","Mumbwa","presidential",2015,0.289768669461264,0.0127518216888127
"308","Nangoma","presidential",2015,0.336240424278138,0.00946372239747634
