"","constit","election_type","year","party","candidate","pct_cast","won"
"248","Kasenengwa","parliamentary",2016,"FDD","Leo K Jere",0.0173602660825829,0
"249","Katombola","parliamentary",2016,"United Party for National Development","Derick Livune",0.860292020021266,1
"250","Katombola","parliamentary",2016,"Patriotic Front","Elias Siankombwe",0.0702819056510802,0
"251","Katombola","parliamentary",2016,"ADD","Alfred M Sieta",0.0404056121787391,0
"252","Katuba","parliamentary",2016,"United Party for National Development","Patricia C Mwashingwele",0.518621346130964,1
"253","Katuba","parliamentary",2016,"Patriotic Front","Jonas Shakafuswa",0.246896442311506,0
"254","Katuba","parliamentary",2016,"Independent","Aubrey B Kapalasa",0.124459604172451,0
"255","Katuba","parliamentary",2016,"Movement for Multi-Party Democracy","Leonard E Chibunga",0.032681553167017,0
"256","Katuba","parliamentary",2016,"FDD","Derrick Chakaina",0.0280410899139333,0
"257","Katuba","parliamentary",2016,"Rainbow Party","Lynda M Hangomba",0.0182445563796454,0
"258","Kaumbwe","parliamentary",2016,"Patriotic Front","Listed N Tembo",0.695660169179846,1
"259","Kaumbwe","parliamentary",2016,"Movement for Multi-Party Democracy","Nicholas K Banda",0.138837808017654,0
"260","Kaumbwe","parliamentary",2016,"United Party for National Development","Felix Z Ngoma",0.12982714233174,0
"261","Kawambwa","parliamentary",2016,"Patriotic Front","Nickson Chilangwa",0.480319761533771,1
"262","Kawambwa","parliamentary",2016,"Independent","Andrew Sindazi",0.320574486823386,0
"263","Kawambwa","parliamentary",2016,"Movement for Multi-Party Democracy","Elizabeth K Chitika",0.123975340424091,0
"264","Kawambwa","parliamentary",2016,"United Party for National Development","Angela C Kawandami",0.0456608630851568,0
"265","Kawambwa","parliamentary",2016,"FDD","Alice K Manchene",0.00921346792222749,0
"266","Keembe","parliamentary",2016,"United Party for National Development","Princess Kasune",0.629559479440337,1
"267","Keembe","parliamentary",2016,"Independent","Anna M Mwewa",0.166737948310625,0
"268","Keembe","parliamentary",2016,"Patriotic Front","Emmanuel Chiminsa",0.160903036598033,0
"269","Keembe","parliamentary",2016,"FDD","Migeort K Mweemba",0.00797336103134356,0
"270","Kwacha","parliamentary",2016,"Patriotic Front","Joseph Malanji",0.673522611173845,1
"271","Kwacha","parliamentary",2016,"United Party for National Development","Faith Mushongo",0.239931171694359,0
"272","Kwacha","parliamentary",2016,"Independent","Jerome M Phiri",0.0376673657041458,0
"273","Kwacha","parliamentary",2016,"FDD","Niza Phiri",0.0201914287250632,0
"274","Kwacha","parliamentary",2016,"Rainbow Party","Kelvin Saulo",0.00755498198634188,0
"275","Liuwa","parliamentary",2016,"United Party for National Development","Situmbeko Musokotwane",0.755582100523753,1
"276","Liuwa","parliamentary",2016,"Patriotic Front","Mwangala L Mwenda",0.21565744739502,0
"277","Liuwa","parliamentary",2016,"FDD","Lubinda H Imasiku",0.0140586235413029,0
"278","Livingstone","parliamentary",2016,"United Party for National Development","Mathews Jere",0.561784781155692,1
"279","Livingstone","parliamentary",2016,"Patriotic Front","Omar B Munsanje",0.202337309865716,0
"280","Livingstone","parliamentary",2016,"Independent","Edwin A Simwimba",0.16616369270654,0
"281","Livingstone","parliamentary",2016,"Independent","Charles Namuchana",0.0254390051242582,0
"282","Livingstone","parliamentary",2016,"Movement for Multi-Party Democracy","Michael B Kashinka",0.00791930812387337,0
"283","Livingstone","parliamentary",2016,"Rainbow Party","Joseph Sakaimbo",0.00609644947643449,0
"284","Livingstone","parliamentary",2016,"UNIP","Ian Munkombwe",0.00585340165677597,0
"285","Livingstone","parliamentary",2016,"Independent","Joram L Mwinda",0.00368622526482085,0
"286","Livingstone","parliamentary",2016,"UPP","Precious Beebe",0.00334190752030462,0
"287","Livingstone","parliamentary",2016,"FDD","Allestair Hamusonde",0.00328114556538999,0
"288","Luampa","parliamentary",2016,"United Party for National Development","Makozo Chikote",0.729808429118774,1
