"","constit","election_type","year","turnout","pct_rejected"
"159","Bwacha","presidential",2016,0.532052656404099,0.0243391360412637
"160","Bwana Mkubwa","presidential",2016,0.542443253525506,0.0209394072225781
"161","Bweengwa","presidential",2016,0.768692488016514,0.010150204824761
"162","Chadiza","presidential",2016,0.562591329761325,0.0477557530189109
"163","Chama North","presidential",2016,0.595583640024998,0.0292060160895418
"164","Chama South","presidential",2016,0.60645375914837,0.0333927591881514
"165","Chasefu","presidential",2016,0.47139546230788,0.0289817570190193
"166","Chavuma","presidential",2016,0.657636640639878,0.012741620212843
"167","Chawama","presidential",2016,0.565537660847471,0.018550388579917
"168","Chembe","presidential",2016,0.4286319356205,0.0452898550724638
"169","Chienge","presidential",2016,0.359041001432133,0.046831141970749
"170","Chifubu","presidential",2016,0.569060666872491,0.0215998101115595
"171","Chifunabuli","presidential",2016,0.556823657713865,0.0278751992712366
"172","Chikankata","presidential",2016,0.703571713518258,0.0186354186354186
"173","Chilanga","presidential",2016,0.553553432498891,0.0223201281677833
"174","Chililabombwe","presidential",2016,0.543604594662883,0.0176981658264507
"175","Chilubi","presidential",2016,0.541551513593419,0.0257536197483978
"176","Chimbamilonga","presidential",2016,0.590227095913755,0.0227215666582978
"177","Chimwemwe","presidential",2016,0.556005143591942,0.0183477751395356
"178","Chingola","presidential",2016,0.530036868358274,0.0192580469176214
"179","Chinsali","presidential",2016,0.591631724107003,0.0247110100435854
"180","Chipangali","presidential",2016,0.455958067693909,0.033549386490563
"181","Chipata Central","presidential",2016,0.516744956750429,0.0207990115321252
"182","Chipili","presidential",2016,0.699803257186578,0.0210074189769621
"183","Chirundu","presidential",2016,0.728830951657039,0.0273765448193148
"184","Chisamba","presidential",2016,0.49010664268277,0.0256040547035435
"185","Chitambo","presidential",2016,0.479125582175975,0.0274980295997898
"186","Choma Central","presidential",2016,0.725364629265314,0.0159362549800797
"187","Chongwe","presidential",2016,0.517645404036852,0.0314385087766969
"188","Dundumwezi","presidential",2016,0.789615240941352,0.0142239883937301
"189","Feira","presidential",2016,0.638693581310955,0.0215435606060606
"190","Gwembe","presidential",2016,0.780254777070064,0.0180045351473923
"191","Ikeleng'i","presidential",2016,0.701848324151779,0.0176056338028169
"192","Isoka","presidential",2016,0.577903177903178,0.0234350909651557
"193","Itezhitezhi","presidential",2016,0.664610873796224,0.02293298851449
"194","Kabompo","presidential",2016,0.634945328473642,0.0180609030451523
"195","Kabushi","presidential",2016,0.580388709461655,0.0163977609483042
"196","Kabwata","presidential",2016,0.603242898689295,0.00898164047021529
"197","Kabwe Central","presidential",2016,0.531111685704291,0.0162089406913142
"198","Kafue","presidential",2016,0.588545904123794,0.0225788089881549
"199","Kafulafuta","presidential",2016,0.477236135957066,0.0417955205697685
"200","Kalabo Central","presidential",2016,0.555594685449016,0.0227613230379163
"201","Kalomo Central","presidential",2016,0.749267413028778,0.0190282791817088
