"","constit","election_type","year","party","candidate","pct_cast","won"
"250","Kankoyo","parliamentary",2011,"UNIP","Vuto  Zulu",0.00571160316094202,0
"251","Kantanshi","parliamentary",2011,"Patriotic Front","Yamfwa  Mukanga",0.697030934245298,1
"252","Kantanshi","parliamentary",2011,"MMD","Daniel  Mutimushi",0.154463961863309,0
"253","Kantanshi","parliamentary",2011,"Independent","David  Nkhata",0.110161148246023,0
"254","Kantanshi","parliamentary",2011,"UPND","Josephine  Lukwesa",0.0233690864811648,0
"255","Kantanshi","parliamentary",2011,"FDD","Tanny  Mbewe",0.00974143738017514,0
"256","Kantanshi","parliamentary",2011,"UNIP","Alasters  Muleya",0.00383439556453702,0
"257","Kanyama","parliamentary",2011,"Patriotic Front","Gerry  Chanda",0.533607860512393,1
"258","Kanyama","parliamentary",2011,"MMD","Yohane  Mwanza",0.24092366233157,0
"259","Kanyama","parliamentary",2011,"UPND","Claud  Pfuma",0.176574839062785,0
"260","Kanyama","parliamentary",2011,"UNIP","Lloyd  Chipepa",0.0122234095233131,0
"261","Kanyama","parliamentary",2011,"NMP","Musenge  Manjata",0.00578592092574735,0
"262","Kanyama","parliamentary",2011,"FDD","Richard  Hamachila",0.00474341265083792,0
"263","Kanyama","parliamentary",2011,"NAREP","Mbita  Sumbwe",0.00471734994396518,0
"264","Kanyama","parliamentary",2011,"ADD","Nelson  Phiri",0.00354452813469207,0
"265","Kanyama","parliamentary",2011,"ZAD","Ireen  Zulu",0.00330996377283745,0
"266","Kanyama","parliamentary",2011,"ZED","Ireen  Zulu",0.00330996377283745,0
"267","Kanyama","parliamentary",2011,"NGP","Japhet  Muwowo",0.00330996377283745,0
"268","Kaoma Central","parliamentary",2011,"UPND","Carlos J Antonio",0.459174283786271,1
"269","Kaoma Central","parliamentary",2011,"MMD","Austin C Liato",0.305932151401755,0
"270","Kaoma Central","parliamentary",2011,"Patriotic Front","Maseka E Kaleka",0.194773326789767,0
"271","Kaoma Central","parliamentary",2011,"ADD","Namushi E Mushumba",0.0358873688730753,0
"272","Kaoma Central","parliamentary",2011,"FDD","Godfrey S Nyambe",0.00423286914913196,0
"273","Kapiri Mposhi","parliamentary",2011,"MMD","Lawrence  Zimba",0.478603603603604,1
"274","Kapiri Mposhi","parliamentary",2011,"Patriotic Front","Eddie  Musonda",0.2748613998614,0
"275","Kapiri Mposhi","parliamentary",2011,"UPND","Robby  Chungwa",0.192134442134442,0
"276","Kapiri Mposhi","parliamentary",2011,"UNIP","Bishop  Maluti",0.0255255255255255,0
"277","Kaputa","parliamentary",2011,"Patriotic Front","Maxas Bj Ngonga",0.589607635206787,1
"278","Kaputa","parliamentary",2011,"MMD","Mutale Wk Nalumango",0.398515376458112,0
"279","Kasama Central","parliamentary",2011,"Patriotic Front","Geoffrey B Mwamba",0.832425293049364,1
"280","Kasama Central","parliamentary",2011,"MMD","Chilekwa  Munkonge",0.143866600627373,0
"281","Kasama Central","parliamentary",2011,"UPND","Patrick T Mwila",0.0121512299818392,0
"282","Kasama Central","parliamentary",2011,"Independent","Maggie  Bwalya",0.00716526333168235,0
"283","Kasama Central","parliamentary",2011,"ZAD","Olive  Lisuba",0.00214627703483573,0
"284","Kasama Central","parliamentary",2011,"ZED","Olive  Lisuba",0.00214627703483573,0
"285","Kasempa","parliamentary",2011,"MMD","Kabinga J Pande",0.64856112910124,1
"286","Kasempa","parliamentary",2011,"UPND","Hyden M Songezha",0.259546648744425,0
"287","Kasempa","parliamentary",2011,"Patriotic Front","Fabian  Chiposo",0.0463127023889534,0
"288","Kasempa","parliamentary",2011,"NMP","Gibson M Kanshamba",0.0219954787071546,0
"289","Kasenengwa","parliamentary",2011,"MMD","Victoria  Kalima",0.85574011195742,1
"290","Kasenengwa","parliamentary",2011,"Patriotic Front","Saul  Zulu",0.0523538588602368,0
"291","Kasenengwa","parliamentary",2011,"Independent","Maria G Mwanza",0.037349729283289,0
"292","Kasenengwa","parliamentary",2011,"UPND","Bernard  Phiri",0.0255574928879508,0
"293","Kasenengwa","parliamentary",2011,"Independent","Jolly  Mtonga",0.0178948334403964,0
